n,eps_cinf,eps_hann,eps_std
316,5.1622831411206880975e-21,8.019643881948762e-08,3.579797847153252e-02
317,4.6226152144971354223e-21,7.956545846556412e-08,3.574137684888806e-02
318,4.1243514442508785215e-21,7.894140661372370e-08,3.568504198599250e-02
319,3.6583288400998590188e-21,7.832418575370699e-08,3.562897178989596e-02
320,3.2329114986934177697e-21,7.771370004780182e-08,3.557316419055943e-02
321,2.8404195974194561872e-21,7.710985529683788e-08,3.551761714053330e-02
322,2.4870218553878375210e-21,7.651255890614169e-08,3.546232861464146e-02
323,2.1667795109315779230e-21,7.592171985434027e-08,3.540729660967071e-02
324,1.8839252312076466217e-21,7.533724866188002e-08,3.535251914406545e-02
325,1.6344450296978076601e-21,7.475905735987595e-08,3.529799425762763e-02
326,1.4208072320235588774e-21,7.418705946017261e-08,3.524372001122162e-02
327,1.2408037068610977050e-21,7.362116992612369e-08,3.518969448648421e-02
328,1.0948394913002348140e-21,7.306130514377032e-08,3.513591578553935e-02
329,9.8145828283858248070e-22,7.250738289369146e-08,3.508238203071773e-02
330,8.9782190583158805331e-22,7.195932232376260e-08,3.502909136428098e-02
331,8.4129044189998453004e-22,7.141704392234279e-08,3.497604194815054e-02
332,8.0539281806123807707e-22,7.088046949202638e-08,3.492323196364094e-02
333,7.8632421598309869376e-22,7.034952212407358e-08,3.487065961119757e-02
334,7.7684621227540193556e-22,6.982412617343406e-08,3.481832311013867e-02
335,7.7421256125470631206e-22,6.930420723420722e-08,3.476622069840166e-02
336,7.7322355324986791021e-22,6.878969211570780e-08,3.471435063229358e-02
337,7.7289887232789851551e-22,6.828050881918976e-08,3.466271118624559e-02
338,7.7034096608309957487e-22,6.777658651493214e-08,3.461130065257149e-02
339,7.6563235491706681550e-22,6.727785551982352e-08,3.456011734123016e-02
340,7.5745392273229968036e-22,6.678424727551009e-08,3.450915957959186e-02
341,7.4625578237030226566e-22,6.629569432700152e-08,3.445842571220828e-02
342,7.3166723300611969288e-22,6.581213030175622e-08,3.440791410058625e-02
343,7.1414054941595138340e-22,6.533348988919393e-08,3.435762312296522e-02
344,6.9385769668844163822e-22,6.485970882082000e-08,3.430755117409810e-02
